term,z,characteristic_of
side,0.9535560226905089,Patient-Centred
progress,0.9106130285882513,Patient-Centred
confirm,0.9053469830768073,Patient-Centred
lotions,0.8897496692679102,Patient-Centred
term,0.8897496692679102,Patient-Centred
exposed,0.8897496692679102,Patient-Centred
particularly,0.8897496692679102,Patient-Centred
finally,0.8897496692679102,Patient-Centred
continue,0.8897496692679102,Patient-Centred
uses,0.8897496692679102,Patient-Centred
irritation,0.8777555103813335,Patient-Centred
mind,0.8730645923398017,Patient-Centred
finish,0.86884128874616,Patient-Centred
hold,0.859825898490882,Patient-Centred
set,0.8578369994181796,Patient-Centred
i've,0.8481786410407703,Patient-Centred
great,0.8244265803650696,Patient-Centred
prevention,0.8198608807036393,Patient-Centred
let's,0.8150783800543937,Patient-Centred
go,0.8125991731178774,Patient-Centred
tell,0.7768047549382098,Patient-Centred
constant,0.7743863729245057,Patient-Centred
helpful,0.7570737922841383,Patient-Centred
wonderful,0.7526157623900599,Patient-Centred
last,0.7473763384188774,Patient-Centred
thinning,0.7473763384188774,Patient-Centred
absolutely,0.737914377271414,Patient-Centred
means,0.737897592290934,Patient-Centred
everything,0.7206831404759891,Patient-Centred
intensive,0.7206831404759891,Patient-Centred
appreciate,0.7142122533859628,Patient-Centred
try,0.7142122533859628,Patient-Centred
move,0.7072948540133961,Patient-Centred
ahead,0.6918393704082901,Patient-Centred
comes,0.6918393704082901,Patient-Centred
comfortable,0.6918393704082901,Patient-Centred
patience,0.6831152525217659,Patient-Centred
forward,0.6831152525217659,Patient-Centred
clarifying,0.6831152525217659,Patient-Centred
sounds,0.6735587517306779,Patient-Centred
check,0.6735587517306779,Patient-Centred
covered,0.6735587517306779,Patient-Centred
steady,0.6735587517306779,Patient-Centred
stop,0.6629939794472858,Patient-Centred
lasted,0.6629939794472858,Patient-Centred
come,0.6629939794472858,Patient-Centred
thanks,0.6629939794472858,Patient-Centred
alternative,0.6562212872254269,Patient-Centred
we've,0.6511826540753264,Patient-Centred
main,0.6511826540753264,Patient-Centred
support,0.6377905911280127,Patient-Centred
down,0.6377905911280127,Patient-Centred
touch,0.6377905911280127,Patient-Centred
works,0.6377905911280127,Patient-Centred
often,0.6347727643980176,Patient-Centred
certain,0.6347727643980176,Patient-Centred
reassure,0.6223281620711664,Patient-Centred
quickly,0.6223281620711664,Patient-Centred
looked,0.6223281620711664,Patient-Centred
eye,0.6223281620711664,Patient-Centred
around,0.6198393637375897,Patient-Centred
recently,0.6198393637375897,Patient-Centred
completely,0.6040359205769703,Patient-Centred
want,0.6040359205769703,Patient-Centred
aim,0.6040359205769703,Patient-Centred
step-by-step,0.6040359205769703,Patient-Centred
reassuring,0.6040359205769703,Patient-Centred
pleased,0.6040359205769703,Patient-Centred
steps,0.6040359205769703,Patient-Centred
build,0.6040359205769703,Patient-Centred
reduces,0.6040359205769703,Patient-Centred
flare-ups,0.6040359205769703,Patient-Centred
understandable,0.6040359205769703,Patient-Centred
professional,0.6018707442632109,Patient-Centred
soap,0.6018707442632109,Patient-Centred
become,0.6018707442632109,Patient-Centred
repair,0.6018707442632109,Patient-Centred
past,0.6018707442632109,Patient-Centred
controlled,0.6018707442632109,Patient-Centred
options,0.5938384298242241,Patient-Centred
redness,0.5805935760773467,Patient-Centred
scanning,0.5805935760773467,Patient-Centred
local,0.5245579631048214,Patient-Centred
discomfort,0.46482033454125576,Patient-Centred
clarify,0.46482033454125576,Patient-Centred
seem,0.46482033454125576,Patient-Centred
along,0.46482033454125576,Patient-Centred
clear,0.4451177715699964,Patient-Centred
alternatives,0.4451177715699964,Patient-Centred
far,0.42540705998473577,Patient-Centred
skin,0.3940033665497155,Patient-Centred
sensation,0.37715842674372735,Patient-Centred
activities,0.36305741314452517,Patient-Centred
occur,0.36305741314452517,Patient-Centred
use,0.3514046176154504,Patient-Centred
sleep,0.3178276176007051,Patient-Centred
spread,0.2826406794200886,Patient-Centred
scale,0.2826406794200886,Patient-Centred
concerns,0.2826406794200886,Patient-Centred
regularly,0.25603088411723374,Patient-Centred
reach,0.25603088411723374,Patient-Centred
includes,0.25603088411723374,Patient-Centred
explanation,0.25603088411723374,Patient-Centred
maintain,0.25603088411723374,Patient-Centred
using,0.24780323396055765,Patient-Centred
burning,0.2178458568958594,Patient-Centred
particular,0.2178458568958594,Patient-Centred
irritants,0.21624809269320744,Patient-Centred
hand,0.20978372838178677,Patient-Centred
stinging,0.15243163218273803,Patient-Centred
happy,0.15243163218273803,Patient-Centred
weather,0.15243163218273803,Patient-Centred
gentle,0.15243163218273803,Patient-Centred
allergens,0.15243163218273803,Patient-Centred
intense,0.14749980466372456,Patient-Centred
primary,0.09700799263735137,Patient-Centred
case,0.07764509708703818,Patient-Centred
appointment,0.07764509708703818,Patient-Centred
point,0.01876999901478974,Patient-Centred
week,0.01876999901478974,Patient-Centred
products,0.01876999901478974,Patient-Centred
factors,0.01876999901478974,Patient-Centred
caused,-0.015406929211368573,Task-Centred
important,-0.030105484143160915,Task-Centred
moisturiser,-0.05616440923053118,Task-Centred
bleeding,-0.059640207829624294,Task-Centred
days,-0.1119361243763205,Task-Centred
excellent,-0.14251440758509168,Task-Centred
first,-0.1602048335407193,Task-Centred
where,-0.20939491033512453,Task-Centred
fissures,-0.20939491033512453,Task-Centred
seven,-0.2268188251308438,Task-Centred
both,-0.24171000608314627,Task-Centred
amount,-0.24171000608314627,Task-Centred
dermatologist,-0.24171000608314627,Task-Centred
typically,-0.2511676617306857,Task-Centred
report,-0.2701972216771881,Task-Centred
experienced,-0.2701972216771881,Task-Centred
discussed,-0.27411273019827176,Task-Centred
hands,-0.29089932030363413,Task-Centred
during,-0.2959639595300461,Task-Centred
condition,-0.31966874955186364,Task-Centred
dryness,-0.34645013262745544,Task-Centred
cream,-0.3639695806937145,Task-Centred
used,-0.39089217227340545,Task-Centred
identified,-0.4186109970397521,Task-Centred
steroid,-0.4508314152403471,Task-Centred
swelling,-0.45220712938709184,Task-Centred
areas,-0.5129011267992122,Task-Centred
routine,-0.5132800107651629,Task-Centred
inflammation,-0.5340680180979546,Task-Centred
eczema,-0.5639790593034217,Task-Centred
long,-0.5902362912907441,Task-Centred
exposure,-0.5940945969911495,Task-Centred
stronger,-0.6000774487825887,Task-Centred
consistent,-0.6000774487825887,Task-Centred
immunosuppressants,-0.6000774487825887,Task-Centred
per,-0.6000774487825887,Task-Centred
biologic,-0.6000774487825887,Task-Centred
referral,-0.6000774487825887,Task-Centred
daily,-0.6156211420997737,Task-Centred
months,-0.6170801716851437,Task-Centred
leading,-0.6307773125307427,Task-Centred
suitable,-0.6307773125307427,Task-Centred
relief,-0.6307773125307427,Task-Centred
discontinue,-0.6381375484175894,Task-Centred
full,-0.6381375484175894,Task-Centred
texture,-0.6383642583884096,Task-Centred
available,-0.6561306361562785,Task-Centred
reported,-0.6564369973618318,Task-Centred
frequently,-0.6564369973618318,Task-Centred
acceptable,-0.6564369973618318,Task-Centred
ointments,-0.6564369973618318,Task-Centred
response,-0.6693134355563244,Task-Centred
wishing,-0.6719050234205793,Task-Centred
oral,-0.6719050234205793,Task-Centred
emollient-only,-0.6719050234205793,Task-Centred
identifiable,-0.6719050234205793,Task-Centred
current,-0.6719050234205793,Task-Centred
severe,-0.6744520116216789,Task-Centred
substances,-0.6971169178758213,Task-Centred
scheduled,-0.6971169178758213,Task-Centred
goodbye,-0.6976056891552168,Task-Centred
fifth,-0.7076851360984022,Task-Centred
high-potency,-0.7116892871656106,Task-Centred
colour,-0.7175776347554912,Task-Centred
protocol,-0.7339996269009913,Task-Centred
fourth,-0.7339996269009913,Task-Centred
referencing,-0.7414323297727338,Task-Centred
according,-0.7414323297727338,Task-Centred
contact,-0.7420980637290364,Task-Centred
damaged,-0.7561576916942253,Task-Centred
inflammatory,-0.7710371632433431,Task-Centred
documented,-0.7955004147292607,Task-Centred
experiencing,-0.826837892180188,Task-Centred
psoriasis,-0.830849750031128,Task-Centred
dermatitis,-0.830849750031128,Task-Centred
tried,-0.8362813604931024,Task-Centred
prediction,-0.8540518713545866,Task-Centred
database,-0.8540518713545866,Task-Centred
cracking,-0.8625071532646119,Task-Centred
followed,-0.8663172062603365,Task-Centred
complete,-0.8823925649937175,Task-Centred
additional,-0.8841425842260194,Task-Centred
concluding,-0.8924656101250125,Task-Centred
wash,-0.8925776651508569,Task-Centred
scaling,-0.9076488292600422,Task-Centred
pattern,-0.9076488292600422,Task-Centred
barrier,-0.9109112186183546,Task-Centred
symptom,-0.9146378633044076,Task-Centred
present,-0.9165345997368646,Task-Centred
required,-0.9238293030761897,Task-Centred
fingertip,-0.935705850611872,Task-Centred
considered,-0.9460460825077034,Task-Centred
matching,-0.9460460825077034,Task-Centred
question,-0.9765604122905265,Task-Centred
disruption,-0.984057269995195,Task-Centred
recorded,-0.9873049085245043,Task-Centred
reviewed,-0.9915034406630115,Task-Centred
prescription,-0.9968732403194114,Task-Centred
monitor,-0.9968732403194114,Task-Centred
able,-0.9968732403194114,Task-Centred
skincare,-0.9968732403194114,Task-Centred
method,-0.9968732403194114,Task-Centred
analysis,-0.9970065240545757,Task-Centred
unit,-1.0038545452725804,Task-Centred
medications,-1.0109832520314934,Task-Centred
involves,-1.03042815819312,Task-Centred
before,-1.0663368260352417,Task-Centred
chemicals,-1.1240673853074628,Task-Centred
long-term,-1.148694034069468,Task-Centred
intermittent,-1.1651791752482437,Task-Centred
within,-1.1651791752482437,Task-Centred
ai,-1.194344383230824,Task-Centred
improvement,-1.201596949579969,Task-Centred
allergies,-1.2402394449264862,Task-Centred
detergents,-1.2425844507943529,Task-Centred
reduce,-1.245851729575863,Task-Centred
pain,-1.2630950222119377,Task-Centred
creams,-1.309280189459271,Task-Centred
known,-1.310061083333777,Task-Centred
due,-1.3780451780779381,Task-Centred
tip,-1.3920496903807384,Task-Centred
infection,-1.3920496903807384,Task-Centred
ingredients,-1.3920496903807384,Task-Centred
one,-1.4097966653268905,Task-Centred
moisturisers,-1.4612767854456994,Task-Centred
visible,-1.47505182695763,Task-Centred
specific,-1.5477626853561934,Task-Centred
two,-1.552226087554828,Task-Centred
initial,-1.6250868938759495,Task-Centred
signs,-1.6250868938759495,Task-Centred
ensure,-1.6250868938759495,Task-Centred
recommended,-1.6250868938759495,Task-Centred
water,-1.6337419099873474,Task-Centred
topical,-1.6774155439122813,Task-Centred
soaps,-1.7111823416209462,Task-Centred
once,-1.7705796619024032,Task-Centred
approach,-1.7789140197595545,Task-Centred
applied,-1.9586443815203625,Task-Centred
second,-1.9661828151596454,Task-Centred
relied,-1.9696155980803784,Task-Centred
history,-2.0190660851995825,Task-Centred
outlined,-2.0254936866452855,Task-Centred
affected,-2.0687190306991967,Task-Centred
treatments,-2.0981694584044632,Task-Centred
examination,-2.12782688268451,Task-Centred
weeks,-2.1319699821078286,Task-Centred
goal,-2.1319699821078286,Task-Centred
area,-2.142855154192149,Task-Centred
plan,-2.1612473033329467,Task-Centred
include,-2.1624710239082505,Task-Centred
third,-2.202531888247425,Task-Centred
short-term,-2.2205764702530564,Task-Centred
phototherapy,-2.298947701511396,Task-Centred
aware,-2.3051226342535234,Task-Centred
apply,-2.4070947703583334,Task-Centred
triggers,-2.415204921637293,Task-Centred
establish,-2.415204921637293,Task-Centred
experience,-2.459680316088536,Task-Centred
currently,-2.4627870858255627,Task-Centred
next,-2.5408438134784066,Task-Centred
ruled,-2.5532552393077625,Task-Centred
allergic,-2.5554557405275635,Task-Centred
proceed,-2.5916334831531507,Task-Centred
worsen,-2.640632797708108,Task-Centred
follow-up,-2.6416776455653337,Task-Centred
schedule,-2.692741043797422,Task-Centred
based,-2.7192040269941384,Task-Centred
please,-2.772554214439553,Task-Centred
accurate,-2.792699005642643,Task-Centred
acknowledged,-2.802124710280182,Task-Centred
ready,-2.95588390464249,Task-Centred
recommend,-3.342905197991791,Task-Centred
several,-3.5083795464593277,Task-Centred
such,-3.7302150427235468,Task-Centred
including,-3.7856526590460127,Task-Centred
conditions,-3.9702291411757997,Task-Centred
medical,-4.175129926863847,Task-Centred
well,-4.296509083288742,Task-Centred
symptoms,-4.368730074227866,Task-Centred
them,-4.708916618052028,Task-Centred
discuss,-4.735145046671868,Task-Centred
follows,-4.924019347774366,Task-Centred
recurrence,-5.00709356306906,Task-Centred
scan,-5.086662456791114,Task-Centred
wish,-5.151623908616979,Task-Centred
information,-5.3649715655738035,Task-Centred
consent,-5.670022484439746,Task-Centred
prevent,-5.718312088104954,Task-Centred
see,-5.756293700847359,Task-Centred
confirmed,-5.812902365535637,Task-Centred
diagnosis,-6.772809116969889,Task-Centred
noted,-6.952677883605332,Task-Centred
treatment,-7.123906975269872,Task-Centred
questions,-8.673358188263137,Task-Centred
understood,-10.542331796877749,Task-Centred
